t,E_left,E_right,E_exact_left,E_exact_right
0.00221839,18.672,8.575,0,0
0.00225151,18.6732,8.575,0,0
0.00228462,18.6749,8.575,0,0
0.00231773,18.6761,8.575,0,0
0.00235084,18.6778,8.575,0,0
0.00238395,18.679,8.575,0,0
0.00241706,18.6807,8.575,0,0
0.00245017,18.6819,8.575,0,0
0.00248328,18.6836,8.575,0,0
0.00251639,18.6848,8.575,0,0
0.0025495,18.6865,8.575,0,0
0.00258261,18.6877,8.575,0,0
0.00261572,18.6895,8.575,0,0
0.00264883,18.6907,8.575,0,0
0.00268194,18.6924,8.575,0,0
0.00271505,18.6936,8.575,0,0
0.00274816,18.6953,8.575,0,0
0.00278127,18.6965,8.575,0,0
0.00281438,18.6982,8.575,0,0
0.00284749,18.6995,8.575,0,0
0.0028806,18.7011,8.575,0,0
0.00291371,18.7024,8.575,0,0
0.00294682,18.7041,8.575,0,0
0.00297993,18.7053,8.575,0,0
0.00301304,18.707,8.575,0,0
0.00304615,18.7082,8.575,0,0
0.00307926,18.7099,8.575,0,0
0.00311237,18.7112,8.575,0,0
0.00314548,18.7128,8.575,0,0
0.0031786,18.7141,8.575,0,0
0.00321171,18.7157,8.575,0,0
0.00324482,18.717,8.575,0,0
0.00327793,18.7186,8.575,0,0
0.00331104,18.7199,8.65833,0,0
0.00334415,18.7215,8.87503,0,0
0.00337726,18.7228,9.17486,0,0
0.00341037,18.7244,9.47547,0,0
0.00344348,18.7257,9.72842,0,0
0.00347659,18.7273,9.92465,0,0
0.0035097,18.7286,10.0752,0,0
0.00354281,18.7302,10.1946,0,0
0.00357592,18.7315,10.2939,0,0
0.00360903,18.7331,10.38,0,0
0.00364214,18.7344,10.4565,0,0
0.00367525,18.736,10.5255,0,0
0.00370836,18.7373,10.5881,0,0
0.00374147,18.7389,10.645,0,0
0.00377458,18.7402,10.6968,0,0
0.00380769,18.7418,10.7441,0,0
0.0038408,18.7431,10.7872,0,0
0.00387391,18.7446,10.8266,0,0
0.00390702,18.746,10.8625,0,0
0.00394013,18.7475,10.8953,0,0
0.00397324,18.7488,10.9253,0,0
0.00400635,18.7504,10.9528,0,0
0.00403946,18.7517,10.9778,0,0
0.00407258,18.7533,11.0008,0,0
0.00410569,18.7546,11.0219,0,0
0.0041388,18.7562,11.0411,0,0
0.00417191,18.7575,11.0588,0,0
0.00420502,18.759,11.075,0,0
0.00423813,18.7604,11.0899,0,0
0.00427124,18.7619,11.1035,0,0
0.00430435,18.7633,11.1161,0,0
0.00433746,18.7648,11.1276,0,0
0.00437057,18.7661,11.1383,0,0
0.00440368,18.7677,11.1481,0,0
0.00443679,18.769,11.1571,0,0
0.0044699,18.7705,11.1655,0,0
0.00450301,18.7719,11.1732,0,0
0.00453612,18.7734,11.1803,0,0
0.00456923,18.7747,11.187,0,0
0.00460234,18.7762,11.1932,0,0
0.00463545,18.7776,11.1989,0,0
0.00466856,18.7791,11.2043,0,0
0.00470167,18.7805,11.2093,0,0
0.00473478,18.782,11.2139,0,0
0.00476789,18.7833,11.2183,0,0
0.004801,18.7848,11.2224,0,0
