t,E_left+F_left,E_left-F_left,E_right+F_right,E_right-F_right
0.00695318,28.5733,22.8058,13.9682,8.71687
0.00698629,28.5733,22.8255,13.9697,8.71825
0.0070194,28.5733,22.8436,13.9712,8.71964
0.00705251,28.5733,22.8603,13.9727,8.72102
0.00708562,28.5734,22.8756,13.9741,8.72241
0.00711873,28.5734,22.8897,13.9756,8.72379
0.00715184,28.5734,22.9028,13.9771,8.72518
0.00718495,28.5734,22.9148,13.9786,8.72656
0.00721806,28.5734,22.926,13.98,8.72795
0.00725117,28.5734,22.9363,13.9815,8.72933
0.00728428,28.5734,22.9458,13.983,8.73072
0.00731739,28.5734,22.9547,13.9844,8.7321
0.0073505,28.5734,22.9629,13.9859,8.73349
0.00738361,28.5734,22.9706,13.9874,8.73487
0.00741672,28.5734,22.9778,13.9889,8.73626
0.00744983,28.5734,22.9845,13.9903,8.73764
0.00748294,28.5734,22.9908,13.9918,8.73903
0.00751605,28.5734,22.9966,13.9933,8.74041
0.00754916,28.5734,23.0022,13.9948,8.7418
0.00758227,28.5734,23.0074,13.9962,8.74318
0.00761538,28.5734,23.0123,13.9977,8.74457
0.00764849,28.5734,23.017,13.9992,8.74595
0.00768161,28.5734,23.0214,14.0006,8.74734
0.00771472,28.5734,23.0256,14.0021,8.74872
0.00774783,28.5734,23.0296,14.0036,8.75011
0.00778094,28.5734,23.0334,14.005,8.75149
0.00781405,28.5734,23.037,14.0065,8.75288
0.00784716,28.5734,23.0405,14.008,8.75426
0.00788027,28.5734,23.0439,14.0094,8.75565
0.00791338,28.5734,23.0471,14.0109,8.75703
0.00794649,28.5734,23.0502,14.0124,8.75842
0.0079796,28.5734,23.0532,14.0138,8.7598
0.00801271,28.5734,23.0561,14.0153,8.76119
0.00804582,28.5734,23.059,14.0168,8.76258
0.00807893,28.5734,23.0617,14.0182,8.76396
0.00811204,28.5734,23.0644,14.0197,8.76535
0.00814515,28.5734,23.067,14.0212,8.76673
0.00817826,28.5734,23.0695,14.0226,8.76812
0.00821137,28.5734,23.072,14.0241,8.7695
0.00824448,28.5734,23.0745,14.0256,8.77089
0.00827759,28.5734,23.0769,14.027,8.77227
0.0083107,28.5734,23.0793,14.0285,8.77366
0.00834381,28.5734,23.0816,14.03,8.77504
0.00837692,28.5734,23.0839,14.0314,8.77643
0.00841003,28.5734,23.0862,14.0329,8.77782
0.00844314,28.5734,23.0884,14.0344,8.7792
0.00847625,28.5734,23.0906,14.0358,8.78059
0.00850936,28.5734,23.0928,14.0373,8.78197
0.00854247,28.5734,23.095,14.0388,8.78336
0.00857559,28.5734,23.0971,14.0402,8.78474
0.0086087,28.5734,23.0992,14.0417,8.78613
0.00864181,28.5734,23.1013,14.0432,8.78752
0.00867492,28.5734,23.1034,14.0446,8.7889
0.00870803,28.5734,23.1055,14.0461,8.79029
0.00874114,28.5734,23.1076,14.0475,8.79167
0.00877425,28.5734,23.1096,14.049,8.79306
0.00880736,28.5734,23.1117,14.0504,8.79445
0.00884047,28.5734,23.1137,14.0519,8.79583
0.00887358,28.5734,23.1157,14.0533,8.79722
0.00890669,28.5734,23.1177,14.0547,8.7986
0.0089398,28.5734,23.1197,14.0562,8.79999
0.00897291,28.5734,23.1218,14.0576,8.80137
0.00900602,28.5734,23.1237,14.059,8.80276
0.00903913,28.5734,23.1257,14.0603,8.80415
0.00907224,28.5734,23.1277,14.0617,8.80553
0.00910535,28.5734,23.1297,14.063,8.80692
0.00913846,28.5734,23.1317,14.0644,8.8083
0.00917157,28.5734,23.1336,14.0657,8.80969
0.00920468,28.5734,23.1356,14.067,8.81108
0.00923779,28.5734,23.1375,14.0682,8.81246
0.0092709,28.5734,23.1395,14.0695,8.81385
0.00930401,28.5734,23.1414,14.0707,8.81523
0.00933712,28.5734,23.1434,14.072,8.81662
0.00937023,28.5734,23.1453,14.0732,8.818
0.00940334,28.5734,23.1473,14.0744,8.81939
0.00943645,28.5734,23.1492,14.0756,8.82077
0.00946957,28.5734,23.1512,14.0768,8.82216
0.00950268,28.5734,23.1531,14.0779,8.82355
0.00953579,28.5734,23.155,14.0791,8.82493
0.0095689,28.5734,23.157,14.0802,8.82632
0.00960201,28.5734,23.1589,14.0814,8.8277
0.00963512,28.5734,23.1608,14.0825,8.82909
0.00966823,28.5734,23.1628,14.0836,8.83047
0.00970134,28.5734,23.1647,14.0847,8.83186
0.00973445,28.5734,23.1666,14.0858,8.83324
0.00976756,28.5734,23.1685,14.0869,8.83463
0.00980067,28.5734,23.1704,14.088,8.83601
0.00983378,28.5734,23.1724,14.089,8.8374
0.00986689,28.5734,23.1743,14.0901,8.83878
0.0099,28.5734,23.1762,14.0912,8.84016
0.00993311,28.5734,23.1781,14.0922,8.84155
0.00996622,28.5734,23.18,14.0933,8.84293
0.00999933,28.5734,23.1819,14.0943,8.84432
