x,E_0,F_0,E+F,E-F
1.011,1.37199e-07,0,0.0137201,-0.00031964
1.017,1.37199e-07,0,0.0137202,-0.000323801
1.023,1.37199e-07,0,0.0137202,-0.000328327
1.029,1.37199e-07,0,0.0137202,-0.000333224
1.035,1.37199e-07,0,0.0137202,-0.000338493
1.041,1.37199e-07,0,0.0137203,-0.00034413
1.047,1.37199e-07,0,0.0137203,-0.000350129
1.053,1.37199e-07,0,0.0137203,-0.000356477
1.059,1.37199e-07,0,0.0137204,-0.000363159
1.065,1.37199e-07,0,0.0137204,-0.000370154
1.071,1.37199e-07,0,0.0137204,-0.000377437
1.077,1.37199e-07,0,0.0137205,-0.000384979
1.083,1.37199e-07,0,0.0137205,-0.000392749
1.089,1.37199e-07,0,0.0137206,-0.000400709
1.095,1.37199e-07,0,0.0137206,-0.000408824
1.101,1.37199e-07,0,0.0137207,-0.000417051
1.107,1.37199e-07,0,0.0137207,-0.00042535
1.113,1.37199e-07,0,0.0137208,-0.000433677
1.119,1.37199e-07,0,0.0137208,-0.000441991
1.125,1.37199e-07,0,0.0137209,-0.000450249
1.131,1.37199e-07,0,0.0137209,-0.00045841
1.137,1.37199e-07,0,0.013721,-0.000466436
1.143,1.37199e-07,0,0.013721,-0.00047429
1.149,1.37199e-07,0,0.0137211,-0.000481938
1.155,1.37199e-07,0,0.0137211,-0.00048935
1.161,1.37199e-07,0,0.0137211,-0.000496499
1.167,1.37199e-07,0,0.0137212,-0.000503362
1.173,1.37199e-07,0,0.0137212,-0.00050992
1.179,1.37199e-07,0,0.0137213,-0.000516158
1.185,1.37199e-07,0,0.0137213,-0.000522065
1.191,1.37199e-07,0,0.0137213,-0.000527635
1.197,1.37199e-07,0,0.0137214,-0.000532864
1.203,1.37199e-07,0,0.0137214,-0.000537753
1.209,1.37199e-07,0,0.0137214,-0.000542303
1.215,1.37199e-07,0,0.0137215,-0.000546523
1.221,1.37199e-07,0,0.0137215,-0.000550421
1.227,1.37199e-07,0,0.0137215,-0.000554007
1.233,1.37199e-07,0,0.0137215,-0.000557295
1.239,1.37199e-07,0,0.0137216,-0.000560298
1.245,1.37199e-07,0,0.0137216,-0.000563032
1.251,1.37199e-07,0,0.0137216,-0.000565513
1.257,1.37199e-07,0,0.0137216,-0.000567756
1.263,1.37199e-07,0,0.0137216,-0.000569779
1.269,1.37199e-07,0,0.0137216,-0.000571599
1.275,1.37199e-07,0,0.0137216,-0.000573223
1.281,1.37199e-07,0,0.0137216,-0.000574665
1.287,1.37199e-07,0,0.0137217,-0.000575941
1.293,1.37199e-07,0,0.0137217,-0.000577067
1.299,1.37199e-07,0,0.0137217,-0.000578066
1.305,1.37199e-07,0,0.0137217,-0.000578943
1.311,1.37199e-07,0,0.0137217,-0.000579721
1.317,1.37199e-07,0,0.0137217,-0.000580402
1.323,1.37199e-07,0,0.0137217,-0.000580998
1.329,1.37199e-07,0,0.0137217,-0.000581515
1.335,1.37199e-07,0,0.0137217,-0.000581966
1.341,1.37199e-07,0,0.0137217,-0.000582367
1.347,1.37199e-07,0,0.0137217,-0.000582703
1.353,1.37199e-07,0,0.0137217,-0.000583002
1.359,1.37199e-07,0,0.0137217,-0.00058327
1.365,1.37199e-07,0,0.0137217,-0.000583497
1.371,1.37199e-07,0,0.0137217,-0.000583685
1.377,1.37199e-07,0,0.0137217,-0.000583856
1.383,1.37199e-07,0,0.0137217,-0.000584011
1.389,1.37199e-07,0,0.0137217,-0.000584129
1.395,1.37199e-07,0,0.0137217,-0.000584231
1.401,1.37199e-07,0,0.0137217,-0.000584329
1.407,1.37199e-07,0,0.0137217,-0.000584409
1.413,1.37199e-07,0,0.0137217,-0.00058447
1.419,1.37199e-07,0,0.0137217,-0.000584519
1.425,1.37199e-07,0,0.0137217,-0.000584554
1.431,1.37199e-07,0,0.0137217,-0.000584588
